num_quadro,pos_coluna,pos_linha,tam_bloco
0,0,0,12,759215456
0,16,0,12,759215456
0,0,16,12,759215456
0,16,16,12,3
0,32,0,12,759215456
0,48,0,9,48
0,56,0,9,48
0,48,8,9,48
0,56,8,9,759215456
0,32,16,12,759215456
0,48,16,9,759215456
0,56,16,9,759215456
0,48,24,9,759215456
0,56,24,6,759215456
0,60,24,6,759215456
0,56,28,6,759215456
0,60,28,6,3
0,64,0,9,80
0,72,0,9,80
0,64,8,9,80
0,72,8,9,759215456
0,80,0,12,759215456
0,64,16,9,80
0,72,16,9,80
0,64,24,9,80
0,72,24,9,759215456
0,80,16,9,759215456
0,88,16,9,759215456
0,80,24,9,759215456
0,88,24,9,3
0,96,0,12,759215456
0,112,0,12,759215456
0,96,16,12,759215456
0,112,16,12,3
0,128,0,12,759215456
0,144,0,12,759215456
0,128,16,12,759215456
0,144,16,12,3
0,160,0,12,759215456
0,176,0,12,759215456
0,160,16,12,759215456
0,176,16,12,3
0,192,0,9,208
0,200,0,9,208
0,192,8,9,208
0,200,8,9,759215456
0,208,0,9,208
0,216,0,6,8
0,220,0,6,8
0,216,4,6,8
0,220,4,6,208
0,208,8,9,208
0,216,8,9,759215456
0,192,16,9,208
0,200,16,9,208
0,192,24,9,208
0,200,24,9,759215456
0,208,16,12,3
0,224,0,9,240
0,232,0,9,240
0,224,8,9,240
0,232,8,9,759215456
0,240,0,9,240
0,248,0,9,240
0,240,8,9,240
0,248,8,9,759215456
0,224,16,9,240
0,232,16,9,240
0,224,24,9,240
0,232,24,9,759215456
0,240,16,9,759215456
0,248,16,9,759215456
0,240,24,9,759215456
0,248,24,9,3
0,256,0,12,759215456
0,272,0,9,272
0,280,0,9,272
0,272,8,9,272
0,280,8,9,759215456
0,256,16,9,272
0,264,16,9,272
0,256,24,9,272
0,264,24,6,272
0,268,24,6,272
0,264,28,6,272
0,268,28,6,759215456
0,272,16,9,759215456
0,280,16,9,759215456
0,272,24,9,759215456
0,280,24,9,3
0,288,0,12,759215456
0,304,0,12,759215456
0,288,16,9,304
0,296,16,9,304
0,288,24,9,304
0,296,24,9,759215456
0,304,16,12,3
0,320,0,12,759215456
0,336,0,12,759215456
0,320,16,12,759215456
0,336,16,9,759215456
0,344,16,9,759215456
0,336,24,9,759215456
0,344,24,9,3
0,352,0,9,368
0,360,0,9,368
0,352,8,9,368
0,360,8,9,759215456
0,368,0,6,8
0,372,0,6,8
0,368,4,6,8
0,372,4,6,368
0,376,0,9,368
0,368,8,9,368
0,376,8,9,759215456
0,352,16,9,368
0,360,16,9,368
0,352,24,9,368
0,360,24,9,759215456
0,368,16,12,3
0,384,0,9,400
0,392,0,9,400
0,384,8,9,400
0,392,8,9,759215456
0,400,0,9,400
0,408,0,9,400
0,400,8,9,400
0,408,8,9,759215456
0,384,16,12,759215456
0,400,16,12,3
0,416,0,12,759215456
0,432,0,12,759215456
0,416,16,12,759215456
0,432,16,12,3
0,448,0,9,464
0,456,0,9,464
0,448,8,9,464
0,456,8,9,759215456
0,464,0,12,759215456
0,448,16,12,759215456
0,464,16,9,759215456
0,472,16,9,759215456
0,464,24,9,759215456
0,472,24,9,3
0,0,32,9,16
0,8,32,9,16
0,0,40,9,16
0,8,40,6,16
0,12,40,6,16
0,8,44,6,16
0,12,44,6,759215456
0,16,32,12,759215456
0,0,48,9,16
0,8,48,9,16
0,0,56,9,16
0,8,56,9,759215456
0,16,48,9,759215456
0,24,48,9,759215456
0,16,56,9,759215456
0,24,56,9,3
0,32,32,9,48
0,40,32,9,48
0,32,40,9,48
0,40,40,6,48
0,44,40,6,48
0,40,44,6,48
0,44,44,6,759215456
0,48,32,9,48
0,56,32,9,48
0,48,40,9,48
0,56,40,9,759215456
0,32,48,9,48
0,40,48,6,40
0,44,48,6,40
0,40,52,6,40
0,44,52,6,48
0,32,56,9,48
0,40,56,9,759215456
0,48,48,12,3
0,64,32,12,759215456
0,80,32,6,32
0,84,32,6,32
0,80,36,6,32
0,84,36,6,80
0,88,32,6,32
0,92,32,6,32
0,88,36,6,32
0,92,36,6,80
0,80,40,9,80
0,88,40,6,80
0,92,40,6,80
0,88,44,6,80
0,92,44,6,759215456
0,64,48,12,759215456
0,80,48,12,3
0,96,32,9,112
0,104,32,9,112
0,96,40,6,759301488
0,100,40,6,759301488
0,96,44,6,759301488
0,100,44,6,112
0,104,40,9,759215456
0,112,32,9,112
0,120,32,9,112
0,112,40,9,112
0,120,40,9,759215456
0,96,48,6,40
0,100,48,6,40
0,96,52,6,40
0,100,52,6,112
0,104,48,9,112
0,96,56,9,112
0,104,56,9,759215456
0,112,48,9,759215456
0,120,48,9,759215456
0,112,56,9,759215456
0,120,56,9,3
0,128,32,12,759215456
0,144,32,12,759215456
0,128,48,12,759215456
0,144,48,12,3
0,160,32,12,759215456
0,176,32,12,759215456
0,160,48,12,759215456
0,176,48,12,3
0,192,32,9,208
0,200,32,9,208
0,192,40,9,208
0,200,40,9,759215456
0,208,32,12,759215456
0,192,48,9,208
0,200,48,9,208
0,192,56,9,208
0,200,56,9,759215456
0,208,48,12,3
0,224,32,12,759215456
0,240,32,9,240
0,248,32,6,32
0,252,32,6,32
0,248,36,6,32
0,252,36,6,240
0,240,40,6,32
0,244,40,6,32
0,240,44,6,32
0,244,44,6,240
0,248,40,6,240
0,252,40,6,240
0,248,44,0,40
0,249,44,0,40
0,248,45,0,40
0,249,45,0,32
0,250,44,3,32
0,248,46,3,32
0,250,46,3,240
0,252,44,6,759215456
0,224,48,9,240
0,232,48,6,44
0,236,48,6,44
0,232,52,6,44
0,236,52,6,240
0,224,56,9,240
0,232,56,6,240
0,236,56,3,44
0,238,56,3,44
0,236,58,3,44
0,238,58,3,240
0,232,60,6,240
0,236,60,6,759215456
0,240,48,3,60
0,242,48,0,929662176
0,243,48,0,929662176
0,242,49,0,929662176
0,243,49,0,60
0,240,50,3,60
0,242,50,3,240
0,244,48,6,240
0,240,52,3,60
0,242,52,3,60
0,240,54,0,48
0,241,54,0,48
0,240,55,0,48
0,241,55,0,60
0,242,54,3,240
0,244,52,6,759215456
0,248,48,6,240
0,252,48,6,240
0,248,52,6,240
0,252,52,6,759215456
0,240,56,6,240
0,244,56,6,240
0,240,60,6,240
0,244,60,6,759215456
0,248,56,6,759215456
0,252,56,6,759215456
0,248,60,6,759215456
0,252,60,6,3
0,256,32,6,759301488
0,260,32,6,759301488
0,256,36,6,759301488
0,260,36,6,272
0,264,32,6,759301488
0,268,32,6,759301488
0,264,36,6,759301488
0,268,36,6,272
0,256,40,9,272
0,264,40,6,272
0,268,40,6,272
0,264,44,6,272
0,268,44,6,759215456
0,272,32,3,929713856
0,274,32,3,929713856
0,272,34,3,929713856
0,274,34,3,44
0,276,32,6,44
0,272,36,6,44
0,276,36,6,272
0,280,32,6,44
0,284,32,6,44
0,280,36,6,44
0,284,36,6,272
0,272,40,6,44
0,276,40,6,44
0,272,44,6,44
0,276,44,6,272
0,280,40,3,44
0,282,40,3,44
0,280,42,3,44
0,282,42,3,272
0,284,40,6,272
0,280,44,6,272
0,284,44,6,759215456
0,256,48,6,44
0,260,48,6,44
0,256,52,6,44
0,260,52,6,272
0,264,48,3,52
0,266,48,3,52
0,264,50,3,52
0,266,50,3,44
0,268,48,6,44
0,264,52,6,44
0,268,52,3,44
0,270,52,3,44
0,268,54,3,44
0,270,54,0,44
0,271,54,0,44
0,270,55,0,44
0,271,55,0,272
0,256,56,6,44
0,260,56,6,44
0,256,60,6,44
0,260,60,6,272
0,264,56,6,272
0,268,56,6,272
0,264,60,6,272
0,268,60,6,759215456
0,272,48,6,272
0,276,48,6,272
0,272,52,6,272
0,276,52,6,759215456
0,280,48,6,272
0,284,48,6,272
0,280,52,6,272
0,284,52,6,759215456
0,272,56,6,272
0,276,56,3,52
0,278,56,3,52
0,276,58,3,52
0,278,58,3,272
0,272,60,6,272
0,276,60,6,759215456
0,280,56,3,272
0,282,56,3,272
0,280,58,3,272
0,282,58,3,759215456
0,284,56,6,759215456
0,280,60,6,759215456
0,284,60,6,3
0,288,32,6,759301488
0,292,32,6,759301488
0,288,36,6,759301488
0,292,36,3,759301488
0,294,36,3,759301488
0,292,38,3,759301488
0,294,38,3,304
0,296,32,6,759301488
0,300,32,6,759301488
0,296,36,3,38
0,298,36,3,38
0,296,38,3,38
0,298,38,3,759301488
0,300,36,3,759301488
0,302,36,3,759301488
0,300,38,3,759301488
0,302,38,3,304
0,288,40,6,759301488
0,292,40,3,38
0,294,40,3,38
0,292,42,3,38
0,294,42,3,759301488
0,288,44,6,759301488
0,292,44,6,304
0,296,40,6,304
0,300,40,6,304
0,296,44,6,304
0,300,44,6,759215456
0,304,32,9,304
0,312,32,9,304
0,304,40,3,32
0,306,40,3,32
0,304,42,3,32
0,306,42,3,44
0,308,40,6,44
0,304,44,6,44
0,308,44,6,304
0,312,40,6,304
0,316,40,6,304
0,312,44,3,44
0,314,44,3,44
0,312,46,3,44
0,314,46,3,304
0,316,44,3,304
0,318,44,0,44
0,319,44,0,44
0,318,45,0,44
0,319,45,0,304
0,316,46,3,304
0,318,46,3,759215456
0,288,48,3,929835392
0,290,48,3,929835392
0,288,50,3,929835392
0,290,50,3,46
0,292,48,6,46
0,288,52,6,46
0,292,52,6,304
0,296,48,6,46
0,300,48,3,52
0,302,48,3,52
0,300,50,3,52
0,302,50,3,46
0,296,52,6,46
0,300,52,3,46
0,302,52,3,46
0,300,54,3,46
0,302,54,3,304
