num_quadro,pos_coluna,pos_linha,tam_bloco
0,0,0,12,1796978016
0,16,0,12,1796978016
0,0,16,12,1796978016
0,16,16,12,3
0,32,0,12,1796978016
0,48,0,12,1796978016
0,32,16,12,1796978016
0,48,16,12,3
0,64,0,12,1796978016
0,80,0,12,1796978016
0,64,16,12,1796978016
0,80,16,12,3
0,96,0,12,1796978016
0,112,0,12,1796978016
0,96,16,12,1796978016
0,112,16,12,3
0,128,0,12,1796978016
0,144,0,12,1796978016
0,128,16,12,1796978016
0,160,0,12,1796978016
0,176,0,12,1796978016
0,160,16,12,1796978016
0,176,16,12,3
0,192,0,12,1796978016
0,208,0,12,1796978016
0,192,16,6,0
0,196,16,6,0
0,192,20,6,0
0,196,20,6,208
0,200,16,9,208
0,192,24,6,0
0,196,24,6,0
0,192,28,6,0
0,196,28,6,208
0,200,24,9,1796978016
0,208,16,9,1796978016
0,216,16,9,1796978016
0,208,24,9,1796978016
0,216,24,9,3
0,224,0,12,1796978016
0,240,0,12,1796978016
0,224,16,9,240
0,232,16,9,240
0,224,24,9,240
0,232,24,9,1796978016
0,240,16,9,1796978016
0,248,16,9,1796978016
0,240,24,9,1796978016
0,248,24,6,1796978016
0,252,24,6,1796978016
0,248,28,6,1796978016
0,252,28,6,3
0,256,0,12,1796978016
0,272,0,12,1796978016
0,256,16,9,272
0,264,16,9,272
0,256,24,9,272
0,264,24,6,272
0,268,24,6,272
0,264,28,6,272
0,268,28,6,1796978016
0,272,16,9,1796978016
0,280,16,9,1796978016
0,272,24,6,272
0,276,24,6,272
0,272,28,6,272
0,276,28,6,1796978016
0,280,24,9,3
0,288,0,12,1796978016
0,304,0,12,1796978016
0,288,16,9,304
0,296,16,9,304
0,288,24,9,304
0,296,24,9,1796978016
0,304,16,12,3
0,320,0,12,1796978016
0,336,0,9,336
0,344,0,9,336
0,336,8,9,336
0,344,8,9,1796978016
0,320,16,12,1796978016
0,336,16,9,1796978016
0,344,16,9,1796978016
0,336,24,9,1796978016
0,344,24,9,3
0,352,0,12,1796978016
0,368,0,12,1796978016
0,352,16,12,1796978016
0,368,16,12,3
0,384,0,12,1796978016
0,400,0,12,1796978016
0,384,16,12,1796978016
0,400,16,12,3
0,416,0,12,1796978016
0,432,0,12,1796978016
0,416,16,12,1796978016
0,432,16,12,3
0,448,0,9,464
0,456,0,9,464
0,448,8,9,464
0,456,8,9,1796978016
0,464,0,12,1796978016
0,448,16,12,1796978016
0,464,16,12,3
0,0,32,12,1796978016
0,16,32,12,1796978016
0,0,48,12,1796978016
0,16,48,12,3
0,32,32,12,1796978016
0,48,32,12,1796978016
0,32,48,12,1796978016
0,48,48,12,3
0,64,32,12,1796978016
0,80,32,12,1796978016
0,64,48,12,1796978016
0,80,48,9,1796978016
0,88,48,9,1796978016
0,80,56,9,1796978016
0,88,56,9,3
0,96,32,12,1796978016
0,112,32,9,112
0,120,32,9,112
0,112,40,9,112
0,120,40,9,1796978016
0,96,48,9,112
0,104,48,9,112
0,96,56,9,112
0,104,56,9,1796978016
0,112,48,9,1796978016
0,120,48,9,1796978016
0,112,56,9,1796978016
0,120,56,9,3
0,128,32,9,144
0,136,32,9,144
0,128,40,9,144
0,136,40,9,1796978016
0,144,32,9,144
0,152,32,9,144
0,144,40,6,40
0,148,40,6,40
0,144,44,6,40
0,148,44,6,144
0,152,40,9,1796978016
0,128,48,9,144
0,136,48,6,40
0,140,48,3,48
0,142,48,3,48
0,140,50,3,48
0,142,50,3,40
0,136,52,6,40
0,140,52,3,40
0,142,52,3,40
0,140,54,3,40
0,142,54,0,40
0,143,54,0,40
0,142,55,0,40
0,143,55,0,144
0,128,56,9,144
0,136,56,6,144
0,140,56,6,144
0,136,60,6,144
0,140,60,6,1796978016
0,144,48,6,144
0,148,48,6,144
0,144,52,6,144
0,148,52,6,1796978016
0,152,48,9,1796978016
0,144,56,6,144
0,148,56,6,144
0,144,60,6,144
0,148,60,6,1796978016
0,152,56,9,3
0,160,32,9,176
0,168,32,9,176
0,160,40,9,176
0,168,40,6,176
0,172,40,6,176
0,168,44,6,176
0,172,44,6,1796978016
0,176,32,6,44
0,180,32,6,44
0,176,36,6,44
0,180,36,6,176
0,184,32,6,44
0,188,32,6,44
0,184,36,3,36
0,186,36,3,36
0,184,38,3,36
0,186,38,3,44
0,188,36,6,176
0,176,40,6,44
0,180,40,6,44
0,176,44,6,44
0,180,44,6,176
0,184,40,6,176
0,188,40,6,176
0,184,44,6,176
0,188,44,6,1796978016
0,160,48,12,1796978016
0,176,48,9,1796978016
0,184,48,6,176
0,188,48,6,176
0,184,52,6,176
0,188,52,6,1796978016
0,176,56,9,1796978016
0,184,56,9,3
0,192,32,6,1797064048
0,196,32,6,1797064048
0,192,36,6,1797064048
0,196,36,6,208
0,200,32,9,208
0,192,40,6,1797064048
0,196,40,6,1797064048
0,192,44,6,1797064048
0,196,44,6,208
0,200,40,9,1796978016
0,208,32,9,208
0,216,32,9,208
0,208,40,9,208
0,216,40,9,1796978016
0,192,48,6,40
0,196,48,6,40
0,192,52,6,40
0,196,52,6,208
0,200,48,9,208
0,192,56,6,40
0,196,56,6,40
0,192,60,3,48
0,194,60,3,48
0,192,62,3,48
0,194,62,0,48
0,195,62,0,48
0,194,63,0,48
0,195,63,0,40
0,196,60,6,208
0,200,56,9,1796978016
0,208,48,12,3
0,224,32,6,1797064048
0,228,32,6,1797064048
0,224,36,6,1797064048
0,228,36,6,240
0,232,32,9,240
0,224,40,6,1797064048
