num_quadro,pos_coluna,pos_linha,tam_bloco
0,0,0,9,16
0,8,0,9,16
0,0,8,9,16
0,8,8,9,-1118508768
0,16,0,12,-1118508768
0,0,16,12,-1118508768
0,16,16,12,3
0,32,0,12,-1118508768
0,48,0,12,-1118508768
0,32,16,12,-1118508768
0,48,16,12,3
0,64,0,9,80
0,72,0,9,80
0,64,8,9,80
0,72,8,9,-1118508768
0,80,0,12,-1118508768
0,64,16,12,-1118508768
0,80,16,12,3
0,96,0,9,112
0,104,0,9,112
0,96,8,9,112
0,104,8,9,-1118508768
0,112,0,12,-1118508768
0,96,16,9,112
0,104,16,9,112
0,96,24,9,112
0,104,24,6,112
0,108,24,6,112
0,104,28,6,112
0,108,28,6,-1118508768
0,112,16,9,-1118508768
0,120,16,9,-1118508768
0,112,24,9,-1118508768
0,120,24,9,3
0,128,0,12,-1118508768
0,144,0,9,144
0,152,0,9,144
0,144,8,9,144
0,152,8,9,-1118508768
0,128,16,12,-1118508768
0,144,16,12,3
0,160,0,12,-1118508768
0,176,0,12,-1118508768
0,160,16,12,-1118508768
0,176,16,12,3
0,192,0,12,-1118508768
0,208,0,12,-1118508768
0,192,16,12,-1118508768
0,208,16,12,3
0,224,0,12,-1118508768
0,240,0,12,-1118508768
0,224,16,12,-1118508768
0,240,16,9,-1118508768
0,248,16,9,-1118508768
0,240,24,9,-1118508768
0,248,24,9,3
0,256,0,12,-1118508768
0,272,0,12,-1118508768
0,256,16,12,-1118508768
0,272,16,12,3
0,288,0,12,-1118508768
0,304,0,12,-1118508768
0,288,16,12,-1118508768
0,304,16,9,-1118508768
0,312,16,9,-1118508768
0,304,24,9,-1118508768
0,312,24,9,3
0,320,0,12,-1118508768
0,336,0,12,-1118508768
0,320,16,9,336
0,328,16,9,336
0,320,24,9,336
0,328,24,9,-1118508768
0,336,16,9,-1118508768
0,344,16,9,-1118508768
0,336,24,9,-1118508768
0,344,24,9,3
0,352,0,9,368
0,360,0,9,368
0,352,8,9,368
0,360,8,9,-1118508768
0,368,0,9,368
0,376,0,9,368
0,368,8,9,368
0,376,8,9,-1118508768
0,352,16,9,368
0,360,16,9,368
0,352,24,9,368
0,360,24,6,368
0,364,24,6,368
0,360,28,6,368
0,364,28,6,-1118508768
0,368,16,12,3
0,384,0,12,-1118508768
0,400,0,9,400
0,408,0,9,400
0,400,8,9,400
0,408,8,9,-1118508768
0,384,16,9,400
0,392,16,9,400
0,384,24,9,400
0,392,24,9,-1118508768
0,400,16,9,-1118508768
0,408,16,9,-1118508768
0,400,24,9,-1118508768
0,408,24,9,3
0,416,0,9,432
0,424,0,9,432
0,416,8,9,432
0,424,8,9,-1118508768
0,432,0,9,432
0,440,0,9,432
0,432,8,9,432
0,440,8,9,-1118508768
0,416,16,9,432
0,424,16,9,432
0,416,24,9,432
0,424,24,9,-1118508768
0,432,16,9,-1118508768
0,440,16,9,-1118508768
0,432,24,9,-1118508768
0,440,24,9,3
0,448,0,9,464
0,456,0,9,464
0,448,8,9,464
0,456,8,9,-1118508768
0,464,0,9,464
0,472,0,9,464
0,464,8,9,464
0,472,8,9,-1118508768
0,448,16,9,464
0,456,16,9,464
0,448,24,9,464
0,456,24,9,-1118508768
0,464,16,9,-1118508768
0,472,16,6,464
0,476,16,6,464
0,472,20,6,464
0,476,20,6,-1118508768
0,464,24,9,-1118508768
0,472,24,9,3
0,0,32,12,-1118508768
0,16,32,12,-1118508768
0,0,48,12,-1118508768
0,16,48,12,3
0,32,32,12,-1118508768
0,48,32,12,-1118508768
0,32,48,12,-1118508768
0,48,48,12,3
0,64,32,12,-1118508768
0,80,32,9,80
0,88,32,9,80
0,80,40,9,80
0,88,40,9,-1118508768
0,64,48,12,-1118508768
0,80,48,12,3
0,96,32,9,112
0,104,32,9,112
0,96,40,9,112
0,104,40,9,-1118508768
0,112,32,12,-1118508768
0,96,48,9,112
0,104,48,9,112
0,96,56,9,112
0,104,56,9,-1118508768
0,112,48,12,3
0,128,32,12,-1118508768
0,144,32,12,-1118508768
0,128,48,12,-1118508768
0,144,48,9,-1118508768
0,152,48,9,-1118508768
0,144,56,9,-1118508768
0,152,56,9,3
0,160,32,12,-1118508768
0,176,32,12,-1118508768
0,160,48,12,-1118508768
0,176,48,12,3
0,192,32,12,-1118508768
0,208,32,12,-1118508768
0,192,48,9,208
0,200,48,9,208
0,192,56,9,208
0,200,56,9,-1118508768
0,208,48,9,-1118508768
0,216,48,9,-1118508768
0,208,56,9,-1118508768
0,216,56,9,3
0,224,32,12,-1118508768
0,240,32,12,-1118508768
0,224,48,12,-1118508768
0,240,48,12,3
0,256,32,12,-1118508768
0,272,32,12,-1118508768
0,256,48,12,-1118508768
0,272,48,9,-1118508768
0,280,48,9,-1118508768
0,272,56,9,-1118508768
0,280,56,9,3
0,288,32,12,-1118508768
0,304,32,12,-1118508768
0,288,48,12,-1118508768
0,304,48,9,-1118508768
0,312,48,9,-1118508768
0,304,56,9,-1118508768
0,312,56,9,3
0,320,32,9,336
0,328,32,9,336
0,320,40,9,336
0,328,40,9,-1118508768
0,336,32,12,-1118508768
0,320,48,9,336
0,328,48,9,336
0,320,56,9,336
0,328,56,9,-1118508768
0,336,48,12,3
0,352,32,9,368
0,360,32,9,368
0,352,40,9,368
0,360,40,9,-1118508768
0,368,32,12,-1118508768
0,352,48,12,-1118508768
0,368,48,12,3
0,384,32,12,-1118508768
0,400,32,12,-1118508768
0,384,48,12,-1118508768
0,400,48,9,-1118508768
