num_quadro,pos_coluna,pos_linha,tam_bloco
0,0,0,12,-546298528
0,16,0,12,-546298528
0,0,16,12,-546298528
0,16,16,12,3
0,32,0,12,-546298528
0,48,0,12,-546298528
0,32,16,12,-546298528
0,48,16,12,3
0,64,0,12,-546298528
0,80,0,12,-546298528
0,64,16,12,-546298528
0,80,16,12,3
0,96,0,12,-546298528
0,112,0,12,-546298528
0,96,16,12,-546298528
0,112,16,12,3
0,128,0,12,-546298528
0,144,0,12,-546298528
0,128,16,12,-546298528
0,144,16,12,3
0,160,0,12,-546298528
0,176,0,12,-546298528
0,160,16,12,-546298528
0,176,16,12,3
0,192,0,12,-546298528
0,208,0,12,-546298528
0,192,16,12,-546298528
0,208,16,12,3
0,224,0,12,-546298528
0,240,0,12,-546298528
0,224,16,12,-546298528
0,240,16,12,3
0,256,0,12,-546298528
0,272,0,12,-546298528
0,256,16,12,-546298528
0,272,16,12,3
0,288,0,12,-546298528
0,304,0,12,-546298528
0,288,16,12,-546298528
0,304,16,12,3
0,320,0,12,-546298528
0,336,0,12,-546298528
0,320,16,12,-546298528
0,336,16,12,3
0,352,0,9,368
0,360,0,9,368
0,352,8,9,368
0,360,8,9,-546298528
0,368,0,9,368
0,376,0,9,368
0,368,8,9,368
0,376,8,9,-546298528
0,352,16,12,-546298528
0,368,16,12,3
0,384,0,12,-546298528
0,400,0,12,-546298528
0,384,16,12,-546298528
0,400,16,12,3
0,416,0,12,-546298528
0,432,0,12,-546298528
0,416,16,12,-546298528
0,432,16,12,3
0,448,0,12,-546298528
0,464,0,12,-546298528
0,448,16,12,-546298528
0,464,16,12,3
0,0,32,12,-546298528
0,16,32,12,-546298528
0,0,48,12,-546298528
0,16,48,12,3
0,32,32,9,48
0,40,32,9,48
0,32,40,9,48
0,40,40,9,-546298528
0,48,32,12,-546298528
0,32,48,12,-546298528
0,48,48,12,3
0,64,32,12,-546298528
0,80,32,12,-546298528
0,64,48,12,-546298528
0,80,48,12,3
0,96,32,12,-546298528
0,112,32,12,-546298528
0,96,48,9,112
0,104,48,9,112
0,96,56,9,112
0,104,56,9,-546298528
0,112,48,12,3
0,128,32,12,-546298528
0,144,32,12,-546298528
0,128,48,12,-546298528
0,144,48,12,3
0,160,32,12,-546298528
0,176,32,12,-546298528
0,160,48,12,-546298528
0,176,48,12,3
0,192,32,12,-546298528
0,208,32,12,-546298528
0,192,48,9,208
0,200,48,9,208
0,192,56,9,208
0,200,56,9,-546298528
0,208,48,12,3
0,224,32,12,-546298528
0,240,32,9,240
0,248,32,9,240
0,240,40,9,240
0,248,40,6,240
0,252,40,6,240
0,248,44,6,240
0,252,44,6,-546298528
0,224,48,9,240
0,232,48,9,240
0,224,56,9,240
0,232,56,9,-546298528
0,240,48,6,240
0,244,48,6,240
0,240,52,6,240
0,244,52,6,-546298528
0,248,48,9,-546298528
0,240,56,9,-546298528
0,248,56,6,-546298528
0,252,56,6,-546298528
0,248,60,6,-546298528
0,252,60,6,3
0,256,32,9,272
0,264,32,6,-546212496
0,268,32,6,-546212496
0,264,36,6,-546212496
0,268,36,6,272
0,256,40,9,272
0,264,40,9,-546298528
0,272,32,9,272
0,280,32,9,272
0,272,40,9,272
0,280,40,9,-546298528
0,256,48,9,272
0,264,48,6,40
0,268,48,6,40
0,264,52,6,40
0,268,52,6,272
0,256,56,9,272
0,264,56,9,-546298528
0,272,48,9,-546298528
0,280,48,6,272
0,284,48,6,272
0,280,52,6,272
0,284,52,6,-546298528
0,272,56,9,-546298528
0,280,56,9,3
0,288,32,6,-546212496
0,292,32,6,-546212496
0,288,36,6,-546212496
0,292,36,6,304
0,296,32,9,304
0,288,40,9,304
0,296,40,9,-546298528
0,304,32,9,304
0,312,32,9,304
0,304,40,6,40
0,308,40,6,40
0,304,44,6,40
0,308,44,6,304
0,312,40,6,304
0,316,40,6,304
0,312,44,3,40
0,314,44,3,40
0,312,46,3,40
0,314,46,3,304
0,316,44,3,304
0,318,44,3,304
0,316,46,3,304
0,318,46,3,-546298528
0,288,48,6,46
0,292,48,6,46
0,288,52,6,46
0,292,52,6,304
0,296,48,6,46
0,300,48,6,46
0,296,52,6,46
0,300,52,6,304
0,288,56,6,46
0,292,56,6,46
0,288,60,6,46
0,292,60,6,304
0,296,56,6,304
0,300,56,6,304
0,296,60,6,304
0,300,60,6,-546298528
0,304,48,6,304
0,308,48,6,304
0,304,52,6,304
0,308,52,6,-546298528
0,312,48,6,304
0,316,48,3,52
0,318,48,3,52
0,316,50,3,52
0,318,50,3,304
0,312,52,6,304
0,316,52,6,-546298528
0,304,56,6,304
0,308,56,6,304
0,304,60,6,304
0,308,60,6,-546298528
0,312,56,6,-546298528
0,316,56,6,-546298528
0,312,60,6,-546298528
0,316,60,6,3
0,320,32,12,-546298528
0,336,32,12,-546298528
0,320,48,6,32
0,324,48,6,32
0,320,52,6,32
0,324,52,3,32
0,326,52,3,32
0,324,54,3,32
0,326,54,3,336
0,328,48,9,336
0,320,56,6,32
0,324,56,6,32
0,320,60,6,32
0,324,60,6,336
0,328,56,6,336
0,332,56,6,336
0,328,60,6,336
0,332,60,6,-546298528
0,336,48,12,3
0,352,32,12,-546298528
0,368,32,12,-546298528
0,352,48,9,368
0,360,48,9,368
0,352,56,9,368
0,360,56,9,-546298528
