num_quadro,pos_coluna,pos_linha,tam_bloco
0,0,0,12,-160627360
0,16,0,12,-160627360
0,0,16,12,-160627360
0,16,16,12,3
0,32,0,12,-160627360
0,48,0,12,-160627360
0,32,16,12,-160627360
0,48,16,12,3
0,64,0,12,-160627360
0,80,0,12,-160627360
0,64,16,12,-160627360
0,80,16,12,3
0,96,0,12,-160627360
0,112,0,12,-160627360
0,96,16,12,-160627360
0,112,16,12,3
0,128,0,12,-160627360
0,144,0,12,-160627360
0,128,16,12,-160627360
0,144,16,12,3
0,160,0,12,-160627360
0,176,0,12,-160627360
0,160,16,12,-160627360
0,176,16,9,-160627360
0,184,16,9,-160627360
0,176,24,9,-160627360
0,184,24,6,-160627360
0,188,24,6,-160627360
0,184,28,6,-160627360
0,188,28,6,3
0,192,0,12,-160627360
0,208,0,12,-160627360
0,192,16,6,0
0,196,16,6,0
0,192,20,6,0
0,196,20,6,208
0,200,16,9,208
0,192,24,6,0
0,196,24,6,0
0,192,28,6,0
0,196,28,6,208
0,200,24,9,-160627360
0,208,16,9,-160627360
0,216,16,9,-160627360
0,208,24,9,-160627360
0,216,24,9,3
0,224,0,12,-160627360
0,240,0,12,-160627360
0,224,16,9,240
0,232,16,9,240
0,224,24,6,0
0,228,24,6,0
0,224,28,3,16
0,226,28,3,16
0,224,30,3,16
0,226,30,3,0
0,228,28,6,240
0,232,24,9,-160627360
0,240,16,9,-160627360
0,248,16,9,-160627360
0,240,24,6,240
0,244,24,6,240
0,240,28,6,240
0,244,28,6,-160627360
0,248,24,6,-160627360
0,252,24,6,-160627360
0,248,28,6,-160627360
0,252,28,6,3
0,256,0,12,-160627360
0,272,0,12,-160627360
0,256,16,9,272
0,264,16,9,272
0,256,24,9,272
0,264,24,6,272
0,268,24,6,272
0,264,28,6,272
0,268,28,6,-160627360
0,272,16,9,-160627360
0,280,16,9,-160627360
0,272,24,6,272
0,276,24,6,272
0,272,28,6,272
0,276,28,6,-160627360
0,280,24,6,-160627360
0,284,24,6,-160627360
0,280,28,6,-160627360
0,284,28,6,3
0,288,0,12,-160627360
0,304,0,12,-160627360
0,288,16,9,304
0,296,16,9,304
0,288,24,6,0
0,292,24,6,0
0,288,28,6,0
0,292,28,6,304
0,296,24,6,304
0,300,24,6,304
0,296,28,6,304
0,300,28,6,-160627360
0,304,16,9,-160627360
0,312,16,9,-160627360
0,304,24,9,-160627360
0,312,24,9,3
0,320,0,12,-160627360
0,336,0,9,336
0,344,0,9,336
0,336,8,6,0
0,340,8,6,0
0,336,12,6,0
0,340,12,6,336
0,344,8,9,-160627360
0,320,16,12,-160627360
0,336,16,9,-160627360
0,344,16,9,-160627360
0,336,24,9,-160627360
0,344,24,6,-160627360
0,348,24,6,-160627360
0,344,28,6,-160627360
0,348,28,6,3
0,352,0,12,-160627360
0,368,0,12,-160627360
0,352,16,12,-160627360
0,368,16,12,3
