num_quadro,pos_coluna,pos_linha,tam_bloco
0,0,0,9,16
0,8,0,9,16
0,0,8,9,16
0,8,8,9,-2044950240
0,16,0,12,-2044950240
0,0,16,9,16
0,8,16,9,16
0,0,24,9,16
0,8,24,9,-2044950240
0,16,16,12,3
0,32,0,12,-2044950240
0,48,0,12,-2044950240
0,32,16,12,-2044950240
0,48,16,9,-2044950240
0,56,16,9,-2044950240
0,48,24,9,-2044950240
0,56,24,9,3
0,64,0,12,-2044950240
0,80,0,9,80
0,88,0,9,80
0,80,8,9,80
0,88,8,9,-2044950240
0,64,16,12,-2044950240
0,80,16,9,-2044950240
0,88,16,9,-2044950240
0,80,24,6,80
0,84,24,6,80
0,80,28,6,80
0,84,28,6,-2044950240
0,88,24,9,3
0,96,0,9,112
0,104,0,9,112
0,96,8,9,112
0,104,8,9,-2044950240
0,112,0,9,112
0,120,0,9,112
0,112,8,9,112
0,120,8,9,-2044950240
0,96,16,9,112
0,104,16,9,112
0,96,24,9,112
0,104,24,6,112
0,108,24,6,112
0,104,28,6,112
0,108,28,6,-2044950240
0,112,16,6,112
0,116,16,6,112
0,112,20,6,112
0,116,20,6,-2044950240
0,120,16,9,-2044950240
0,112,24,9,-2044950240
0,120,24,9,3
0,128,0,9,144
0,136,0,9,144
0,128,8,9,144
0,136,8,9,-2044950240
0,144,0,9,144
0,152,0,9,144
0,144,8,9,144
0,152,8,9,-2044950240
0,128,16,12,-2044950240
0,144,16,12,3
0,160,0,9,176
0,168,0,9,176
0,160,8,9,176
0,168,8,9,-2044950240
0,176,0,12,-2044950240
0,160,16,12,-2044950240
0,176,16,9,-2044950240
0,184,16,9,-2044950240
0,176,24,9,-2044950240
0,184,24,9,3
0,192,0,12,-2044950240
0,208,0,12,-2044950240
0,192,16,9,208
0,200,16,9,208
0,192,24,9,208
0,200,24,9,-2044950240
0,208,16,12,3
0,224,0,9,240
0,232,0,9,240
0,224,8,9,240
0,232,8,9,-2044950240
0,240,0,9,240
0,248,0,9,240
0,240,8,9,240
0,248,8,9,-2044950240
0,224,16,12,-2044950240
0,240,16,12,3
0,256,0,9,272
0,264,0,9,272
0,256,8,9,272
0,264,8,9,-2044950240
0,272,0,12,-2044950240
0,256,16,9,272
0,264,16,9,272
0,256,24,9,272
0,264,24,9,-2044950240
0,272,16,9,-2044950240
0,280,16,9,-2044950240
0,272,24,9,-2044950240
0,280,24,9,3
0,288,0,12,-2044950240
0,304,0,12,-2044950240
0,288,16,9,304
0,296,16,9,304
0,288,24,9,304
0,296,24,9,-2044950240
0,304,16,9,-2044950240
0,312,16,9,-2044950240
0,304,24,9,-2044950240
0,312,24,9,3
0,320,0,12,-2044950240
0,336,0,9,336
0,344,0,9,336
0,336,8,9,336
0,344,8,9,-2044950240
0,320,16,9,336
0,328,16,9,336
0,320,24,9,336
0,328,24,9,-2044950240
0,336,16,9,-2044950240
0,344,16,9,-2044950240
0,336,24,9,-2044950240
0,344,24,9,3
0,352,0,9,368
0,360,0,9,368
0,352,8,9,368
0,360,8,9,-2044950240
0,368,0,9,368
0,376,0,9,368
0,368,8,9,368
0,376,8,9,-2044950240
0,352,16,6,8
0,356,16,6,8
0,352,20,6,8
0,356,20,6,368
0,360,16,9,368
0,352,24,9,368
0,360,24,6,368
0,364,24,6,368
0,360,28,6,368
0,364,28,6,-2044950240
0,368,16,9,-2044950240
0,376,16,9,-2044950240
0,368,24,9,-2044950240
0,376,24,9,3
0,384,0,9,400
0,392,0,9,400
0,384,8,9,400
0,392,8,9,-2044950240
0,400,0,9,400
0,408,0,9,400
0,400,8,9,400
0,408,8,9,-2044950240
0,384,16,9,400
0,392,16,6,8
0,396,16,6,8
0,392,20,6,8
0,396,20,6,400
0,384,24,9,400
0,392,24,9,-2044950240
0,400,16,6,400
0,404,16,6,400
0,400,20,6,400
0,404,20,6,-2044950240
0,408,16,9,-2044950240
0,400,24,9,-2044950240
0,408,24,9,3
0,416,0,9,432
0,424,0,9,432
0,416,8,9,432
0,424,8,9,-2044950240
0,432,0,9,432
0,440,0,9,432
0,432,8,9,432
0,440,8,9,-2044950240
0,416,16,9,432
0,424,16,9,432
0,416,24,9,432
0,424,24,9,-2044950240
0,432,16,9,-2044950240
0,440,16,9,-2044950240
0,432,24,9,-2044950240
0,440,24,9,3
0,448,0,9,464
0,456,0,9,464
0,448,8,9,464
0,456,8,9,-2044950240
0,464,0,9,464
0,472,0,6,8
0,476,0,6,8
0,472,4,6,8
0,476,4,6,464
0,464,8,9,464
0,472,8,6,464
0,476,8,6,464
0,472,12,6,464
0,476,12,6,-2044950240
0,448,16,9,464
0,456,16,9,464
0,448,24,9,464
0,456,24,9,-2044950240
0,464,16,9,-2044950240
0,472,16,6,464
0,476,16,6,464
0,472,20,6,464
0,476,20,6,-2044950240
0,464,24,9,-2044950240
0,472,24,9,3
0,0,32,12,-2044950240
0,16,32,12,-2044950240
0,0,48,12,-2044950240
0,16,48,12,3
0,32,32,12,-2044950240
0,48,32,12,-2044950240
0,32,48,12,-2044950240
0,48,48,12,3
0,64,32,12,-2044950240
0,80,32,9,80
0,88,32,9,80
0,80,40,9,80
0,88,40,9,-2044950240
0,64,48,12,-2044950240
0,80,48,12,3
0,96,32,9,112
0,104,32,9,112
0,96,40,9,112
0,104,40,9,-2044950240
0,112,32,9,112
0,120,32,9,112
0,112,40,9,112
0,120,40,9,-2044950240
0,96,48,9,112
0,104,48,9,112
0,96,56,9,112
0,104,56,9,-2044950240
