num_quadro,pos_coluna,pos_linha,tam_bloco
0,0,0,12,1638484704
0,16,0,12,1638484704
0,0,16,12,1638484704
0,16,16,12,3
0,32,0,9,48
0,40,0,9,48
0,32,8,9,48
0,40,8,9,1638484704
0,48,0,12,1638484704
0,32,16,6,0
0,36,16,6,0
0,32,20,6,0
0,36,20,6,48
0,40,16,9,48
0,32,24,9,48
0,40,24,9,1638484704
0,48,16,9,1638484704
0,56,16,9,1638484704
0,48,24,9,1638484704
0,56,24,6,1638484704
0,60,24,6,1638484704
0,56,28,6,1638484704
0,60,28,6,3
0,64,0,6,1638570736
0,68,0,6,1638570736
0,64,4,6,1638570736
0,68,4,6,80
0,72,0,9,80
0,64,8,6,1638570736
0,68,8,6,1638570736
0,64,12,6,1638570736
0,68,12,6,80
0,72,8,6,80
0,76,8,6,80
0,72,12,6,80
0,76,12,6,1638484704
0,80,0,9,80
0,88,0,9,80
0,80,8,9,80
0,88,8,6,80
0,92,8,6,80
0,88,12,6,80
0,92,12,6,1638484704
0,64,16,6,12
0,68,16,6,12
0,64,20,6,12
0,68,20,6,80
0,72,16,6,12
0,76,16,6,12
0,72,20,6,12
0,76,20,6,80
0,64,24,6,12
0,68,24,6,12
0,64,28,3,20
0,66,28,3,20
0,64,30,3,20
0,66,30,3,12
0,68,28,6,80
0,72,24,9,1638484704
0,80,16,12,3
0,96,0,9,112
0,104,0,9,112
0,96,8,9,112
0,104,8,9,1638484704
0,112,0,12,1638484704
0,96,16,6,0
0,100,16,6,0
0,96,20,6,0
0,100,20,6,112
0,104,16,9,112
0,96,24,6,0
0,100,24,6,0
0,96,28,6,0
0,100,28,6,112
0,104,24,9,1638484704
0,112,16,9,1638484704
0,120,16,6,112
0,124,16,6,112
0,120,20,6,112
0,124,20,6,1638484704
0,112,24,6,112
0,116,24,6,112
0,112,28,6,112
0,116,28,6,1638484704
0,120,24,9,3
0,128,0,6,1638570736
0,132,0,6,1638570736
0,128,4,6,1638570736
0,132,4,6,144
0,136,0,9,144
0,128,8,9,144
0,136,8,9,1638484704
0,144,0,12,1638484704
0,128,16,9,144
0,136,16,6,0
0,140,16,6,0
0,136,20,6,0
0,140,20,6,144
0,128,24,9,144
0,136,24,9,1638484704
0,144,16,6,144
0,148,16,6,144
0,144,20,6,144
0,148,20,6,1638484704
0,152,16,6,144
0,156,16,6,144
0,152,20,6,144
0,156,20,6,1638484704
0,144,24,6,144
0,148,24,6,144
0,144,28,6,144
0,148,28,6,1638484704
0,152,24,9,3
0,160,0,6,1638570736
0,164,0,6,1638570736
0,160,4,6,1638570736
0,164,4,6,176
0,168,0,9,176
0,160,8,6,1638570736
0,164,8,6,1638570736
0,160,12,6,1638570736
0,164,12,6,176
0,168,8,9,1638484704
0,176,0,6,8
0,180,0,6,8
0,176,4,6,8
0,180,4,6,176
0,184,0,9,176
0,176,8,9,176
0,184,8,6,176
0,188,8,3,8
0,190,8,3,8
0,188,10,3,8
0,190,10,3,176
0,184,12,6,176
0,188,12,6,1638484704
0,160,16,6,12
0,164,16,6,12
0,160,20,6,12
0,164,20,6,176
0,168,16,6,12
0,172,16,6,12
0,168,20,6,12
0,172,20,6,176
